STT,SO XE,XE,NGAY,L,l,Q,To,Tr,N,C,Vm,d,dd,dH,Dh,M,E1,E2,E3,E4,E5,E6,LV,LV1,dc,MG
1,CE6_3,CE6.2U2_88,16/05/2020,06T,CE6,97.12,270,65,21,1356014.484,28.42536585,Tuyen Cua Nam,CN,0.386,386,7.05,1.84073107,192342.48,0.1,0.240740741,0.07259061,0.003974465,C,3,3.83,E2>260000
2,CE10_2,CE10U2_30,16/05/2020,11T,CE10,82.38,206,55,6,2582535.691,32.73377483,Tuyen Le Van Linh,LVL,0.1,100,10.27,1.316666667,251464.04,0.01,0.266990291,0.124666181,0.001213887,D,5,7.8,E2<240000
3,CE6_3,CE6.2U2_88,16/05/2020,06T,CE6,93.92,362,149,23,1517582.167,26.45633803,Tuyen Cua Nam,CN,0.468,468,7.89,2.060052219,192342.48,0.12,0.41160221,0.084007666,0.004982964,T,4,3.83,E2>260000
4,CE10_2,CE10U2_30,16/05/2020,11T,CE10,97.35,309,170,14,2527677.598,42.02158273,Tuyen Le Van Linh,LVL,0,0,11.23,1.43974359,225082.6,0,0.550161812,0.115356959,0,T,4,7.8,240000<E2<260000
5,CE6_5,CE6.2U2_44,16/05/2020,06T,CE6,91.68,366,112,28,1419487.502,21.65669291,Tuyen Hang Dao,HD,1.534,1534,7.38,0.934177215,192342.48,0.19,0.306010929,0.080497382,0.016732112,T,4,7.9,E2>260000
6,CE6_7,CE6.2U2_80,16/05/2020,06T,CE6,97.1,383,157,23,1346384.598,25.77876106,Tuyen Hang Bai,HB,6.087,6087,7.36,1.610503282,182932.69,1.33,0.409921671,0.075798146,0.062687951,T,4,4.57,240000<E2<260000
7,CE6_7,CE6.2U2_80,16/05/2020,06T,CE6,95.33,239,88,25,1357360.56,37.88,Tuyen Cua Nam,CN,1.023,1023,7.42,1.937336815,182932.69,0.27,0.368200837,0.0778,0.0107,D,5,3.83,E2<240000
8,CE6_7,CE6.2U2_84,16/05/2020,06T,CE6,90.64,257,83,5,1295716.033,31.25517241,Tuyen Le Van Linh,LVL,0,0,7.27,0.932051282,178227.79,0,0.322957198,0.080207414,0,Sa,1,7.8,240000<E2<260000
9,CE6_8,CE6.2U2_84,16/05/2020,06T,CE6,96.11,297,113,28,1246422.312,31.34,Tuyen Le Van Linh,LVL,5.228,5228,8.27,1.06025641,150716.12,0.67,0.439688716,0.086047238,0.054396005,C,3,7.8,E2<240000
10,CE6_9,CE6.2U2_18,16/05/2020,06T,CE6,99.51,368,162,22,1473343.397,28.98349515,Tuyen Bach Dang,BD,6.696,6696,7.66,2.092896175,192342.48,1.83,0.440217391,0.076977188,0.06728972,T,4,3.66,E2>260000
11,CE7_10,CE7.7U2_38,16/05/2020,13T,CE9,96.19,274,87,21,3244175.485,30.8631016,Tuyen Tran Hung Dao,THD,0.626,626,12.27,2.921428571,264398.98,0.15,0.317518248,0.127560037,0.006507953,T,4,4.2,E2>260000
12,CE7_11,CE7U2_81,16/05/2020,07T,CE7,107.75,320,142,15,1167110.562,36.32022472,Tuyen Co De,CD,0,0,6.38,1.48372093,182932.69,0,0.44375,0.059211137,0,C,3,4.3,E2>260000
13,CE7_11,CE7U2_81,16/05/2020,07T,CE7,98.63,290,78,24,1489842.385,2L141509433962,Tuyen Co De,CD,1.1,1100,7.94,1.846511628,187637.58,0.26,0.268965517,0.08050289,0.011152793,Sa,1,4.3,240000<E2<260000
14,CE7_12,CE7U2_68,16/05/2020,07T,CE7,88.76,192,87,21,1371516.728,50.72,Tuyen Ly Thai To,LTT,0,0,8.19,1.1375,167462.36,0,0.453125,0.092271293,0,D,5,7.2,E2<240000
15,CE7_12,CE7U2_68,16/05/2020,07T,CE7,89.02,260,56,22,1070084.48,26.18235294,Tuyen Ly Thai To,LTT,0.194,194,6.39,0.8875,167462.36,0.03,0.215384615,0.071781622,0.002179286,T,4,7.2,E2<240000
16,CE10_1,CE10U2_59,17/05/2020,11T,CE10,89.32,252,107,23,2815010.589,36.96,Tuyen Le Van Linh,LVL,4,4000,11.49,1.473076923,244996.57,0.51,0.424603175,0.128638603,0.044782803,D,5,7.8,E2<240000
17,CE10_1,CE10U2_59,17/05/2020,11T,CE10,92.34,293,101,23,2624258.568,28.85625,Tuyen Le Van Linh,LVL,4.005,4005,11.4,1.461538462,230198.12,0.51,0.344709898,0.12345679,0.04337232,T,4,7.8,240000<E2<260000
18,CE10_2,CE10U2_30,17/05/2020,11T,CE10,94.18,276,96,24,2474774.453,31.39333333,Tuyen Tran Hung Dao,THD,0.911,911,9.36,2.228571429,264398.98,0.22,0.347826087,0.099384158,0.009672967,T,4,4.2,E2>260000
19,CE6_5,CE6.2U2_44,17/05/2020,06T,CE6,89.64,261,69,16,1294464.89,28.0125,Tuyen Hang Dao,HD,0,0,6.73,0.851898734,192342.48,0,0.264367816,0.07507809,0,T,4,7.9,E2>260000
20,CE6_6,CE6.2U2_53,17/05/2020,06T,CE6,85.88,300,103,10,1180609.638,26.15634518,Tuyen Ly Thai To,LTT,0.13,130,7.05,0.979166667,167462.36,0.02,0.343333333,0.08209129,0.00151374,T,4,7.2,E2<240000
21,CE6_6,CE6.2U2_53,17/05/2020,06T,CE6,90.17,270,108,18,1352748.926,33.3962963,Tuyen Ly Thai To,LTT,0.183,183,7.59,1.054166667,178227.79,0.03,0.4,0.084174337,0.0020295,D,5,7.2,240000<E2<260000
22,CE6_7,CE6.2U2_80,17/05/2020,06T,CE6,112.46,584,218,17,1373325.307,18.43606557,Tuyen Cua Nam,CN,3.286,3286,7.14,0.878228782,192342.48,0.4,0.373287671,0.063489241,0.029219278,Sa,1,8.13,E2>260000
23,CE6_9,CE6.2U2_18,17/05/2020,06T,CE6,94.47,455,71,28,1415640.653,14.7609375,Tuyen Cua Nam,CN,0.954,954,7.36,1.921671018,192342.48,0.25,0.156043956,0.077908331,0.010098444,C,3,3.83,E2>260000
24,CE7_11,CE7U2_81,17/05/2020,07T,CE7,90.87,295,220,7,1390176.762,72.696,Tuyen Bach Dang,BD,0,0,7.8,2.131147541,178227.79,0,0.745762712,0.08583691,0,C,3,3.66,240000<E2<260000
25,CE7_12,CE7U2_68,17/05/2020,07T,CE7,89.9,274,128,18,1304627.423,36.94520548,Tuyen Ly Thai To,LTT,0.726,726,7.32,1.016666667,178227.79,0.1,0.467153285,0.081423804,0.00807564,D,5,7.2,E2<240000
26,CE7_12,CE7U2_68,17/05/2020,07T,CE7,92.93,250,91,23,1306206.408,35.06792453,Tuyen Hang Bai,HB,1.025,1025,7.8,1.70678337,167462.36,0.22,0.364,0.083934144,0.011029807,T,4,4.57,240000<E2<260000
27,CE10_1,CE10U2_59,18/05/2020,11T,CE10,92.43,288,107,21,2823781.106,30.63977901,Tuyen Le Van Linh,LVL,0.394,394,10.68,1.369230769,264398.98,0.05,0.371527778,0.1155469,0.004262685,T,4,7.8,E2>260000
28,CE10_2,CE10U2_30,18/05/2020,11T,CE10,91.33,234,123,24,2724361.858,27.74594595,Tuyen Phan Chu Trinh,PCT,0,0,11.12,2.269387755,244996.57,0,0.525641026,0.1218,0,T,4,4.9,E2>260000
29,CE6_3,CE6.2U2_88,18/05/2020,06T,CE6,100.51,392,176,15,1515658.742,2L194444444444,Tuyen Hang Bai,HB,1.35,1350,7.88,1.72428884,192342.48,0.3,0.448979592,0.078400159,0.013431499,C,3,4.57,E2>260000
30,CE6_5,CE6.2U2_44,18/05/2020,06T,CE6,89.77,240,82,20,1401652.723,34.08987342,Tuyen Hang Dao,HD,0.164,164,7.47,0.94556962,187637.58,0.02,0.341666667,0.083212655,0.001826891,C,3,7.9,E2<240000
31,CE6_5,CE6.2U2_44,18/05/2020,06T,CE6,87.88,180,97,20,1200705.121,63.52771084,Tuyen Hang Dao,HD,0.223,223,7.17,0.907594937,167462.36,0.03,0.538888889,0.08158853,0.002537551,D,5,7.9,E2<240000
32,CE6_5,CE6.2U2_44,18/05/2020,06T,CE6,107.78,351,122,27,1286110.925,28.23930131,Tuyen Cua Nam,CN,1.235,1235,7.68,0.654731458,167462.36,0.11,0.347578348,0.071256263,0.011458527,T,4,11.73,E2>260000
33,CE6_6,CE6.2U2_53,18/05/2020,06T,CE6,84.4,240,70,6,1484883.946,29.78823529,Tuyen Ly Thai To,LTT,0,0,7.72,1.072222222,192342.48,0,0.291666667,0.091469194,0,T,4,7.2,E2<240000
34,CE6_6,CE6.2U2_53,18/05/2020,06T,CE6,107.12,487,229,32,1008644.375,2H116279069767,Tuyen Ly Thai To,LTT,3.974,3974,6.16,0.855555556,163740.97,0.55,0.470225873,0.057505601,0.037098581,Sa,2,7.2,E2>260000
35,CE6_6,CE6.2U2_53,18/05/2020,06T,CE6,88.18,235,72,20,1019845.772,32.45889571,Tuyen Ly Thai To,LTT,0.182,182,6.09,0.845833333,167462.36,0.03,0.306382979,0.06906328,0.00206396,D,5,7.2,E2<240000
36,CE6_7,CE6.2U2_80,18/05/2020,06T,CE6,88,88.23,80,10,1391612.212,641.5552855,Tuyen Hang Bai,HB,3.448,3448,8.31,1.818380744,167462.36,0.75,0.90672107,0.094431818,0.039181818,T,4,4.57,E2<240000
37,CE6_7,CE6.2U2_80,18/05/2020,06T,CE6,92.3,310,116,18,1320667.924,28.54639175,Tuyen Hang Bai,HB,0.05,50,7.41,1.621444201,178227.79,0.01,0.374193548,0.08028169,0.000541712,D,5,4.57,240000<E2<260000
38,CE7_11,CE7U2_81,18/05/2020,07T,CE7,92.62,295,95,4,1302857.161,27.786,Tuyen Bach Dang,BD,0,0,7.78,2.12568306,167462.36,0,0.322033898,0.083999136,0,C,3,3.66,240000<E2<260000
39,CE7_11,CE7U2_81,18/05/2020,07T,CE7,88.51,320,83,7,1416910.931,22.40759494,Tuyen Co De,CD,0,0,7.95,1.848837209,178227.79,0,0.259375,0.089820359,0,Sa,1,4.3,E2<240000
40,CE7_12,CE7U2_68,18/05/2020,07T,CE7,91.86,303,123,32,1356014.484,30.62,Tuyen Cua Nam,CN,0.632,632,7.05,1.84073107,192342.48,0.17,0.405940594,0.076747224,0.006880035,T,4,3.83,E2>260000
41,CE9_13,CE9.6U2_00,18/05/2020,13T,CE9,90.82,280,92,8,3434851.911,28.98510638,Tuyen Le Van Linh,LVL,0,0,14.02,1.797435897,244996.57,0,0.328571429,0.154371284,0,T,4,7.8,240000<E2<260000
42,CE9_13,CE9.6U2_00,18/05/2020,13T,CE9,90.96,224,96,11,3187405.376,42.6375,Tuyen Le Van Linh,LVL,0,0,13.01,1.667948718,244996.57,0,0.428571429,0.143029903,0,D,5,7.8,240000<E2<260000
43,CE9_14,CE9.7U2_02,18/05/2020,13T,CE9,94.21,272,95,26,2712733.535,31.93559322,Tuyen Tran Hung Dao,THD,1.03,1030,10.26,2.442857143,264398.98,0.25,0.349264706,0.108905636,0.010933022,T,4,4.2,E2>260000
44,CE10_1,CE10U2_59,19/05/2020,11T,CE10,95.93,259,76,22,3080248.117,31.45245902,Tuyen Phan Chu Trinh,PCT,1.116,1116,11.65,2.37755102,264398.98,0.23,0.293436293,0.121442719,0.011633483,T,4,4.9,E2>260000
45,CE10_2,CE10U2_30,19/05/2020,11T,CE10,91.79,267,96,15,2670429.698,32.20701754,Tuyen Trang Tien,TT,0,0,10.1,2.295454545,264398.98,0,0.359550562,0.110033773,0,T,4,4.4,E2>260000
46,CE6_4,CE6.2U2_40,19/05/2020,06T,CE6,91.19,196,77,7,1320667.924,25.81008403,Tuyen Bach Dang,BD,0.442,442,7.41,2.024590164,178227.79,0.12,0.392857143,0.0813,0.0048,T,4,3.66,E2>260000
47,CE6_7,CE6.2U2_80,19/05/2020,06T,CE6,92.02,310,133,18,1290618.041,31.19322034,Tuyen Hang Bai,HB,2.786,2786,6.71,1.468271335,192342.48,0.61,0.429032258,0.072918931,0.030276027,D,5,4.57,240000<E2<260000
48,CE6_7,CE6.2U2_80,19/05/2020,06T,CE6,95.16,322,91,29,1327797.036,24.71688312,Tuyen Cua Nam,CN,0.388,388,7.45,1.945169713,178227.79,0.1,0.282608696,0.078289197,0.004077343,C,3,3.83,E2>260000
49,CE6_7,CE6.2U2_80,19/05/2020,06T,CE6,92.38,285,87,29,1254723.642,2L939393939394,Tuyen Hang Bai,HB,5.294,5294,7.04,1.5404814,178227.79,1.16,0.305263158,0.076206971,0.057306776,T,4,4.57,240000<E2<260000
50,CE6_9,CE6.2U2_18,19/05/2020,06T,CE6,87.87,290,122,19,1296158.666,31.38214286,Tuyen Ly Thai To,LTT,0,0,7.74,1.075,167462.36,0,0.420689655,0.088084671,0,T,4,7.2,E2<240000
51,CE6_9,CE6.2U2_18,19/05/2020,06T,CE6,86.54,226,73,20,1406683.824,33.9372549,Tuyen Bach Dang,BD,1.05,1050,8.4,2.295081967,167462.36,0.29,0.32300885,0.097064941,0.012133118,D,5,3.66,E2<240000
52,CE7_11,CE7U2_81,19/05/2020,07T,CE7,100.95,475,182,24,1698384.098,20.67235495,Tuyen Co De,CD,0.464,464,8.83,2.053488372,192342.48,0.11,0.383157895,0.087469044,0.004596335,Sa,1,4.3,E2>260000
53,CE7_12,CE7U2_68,19/05/2020,07T,CE7,93.35,245,82,21,1274328.699,3D61963190184,Tuyen Hang Dao,HD,0.425,425,7.15,0.905063291,178227.79,0.05,0.334693878,0.076593465,0.004552758,T,4,7.9,240000<E2<260000
54,CE7_12,CE7U2_68,19/05/2020,07T,CE7,90.5,240,87,22,1429386.876,35.49019608,Tuyen Hang Dao,HD,0.226,226,8.02,1.015189873,178227.79,0.03,0.3625,0.088618785,0.002497238,D,5,7.9,240000<E2<260000
55,CE9_13,CE9.6U2_00,19/05/2020,13T,CE9,95.4,290,117,38,3667213.853,33.0867052,Tuyen Tran Hung Dao,THD,0.528,528,13.87,3.302380952,264398.98,0.13,0.403448276,0.145387841,0.005534591,T,4,4.2,E2>260000
56,CE6_3,CE6.2U2_88,20/05/2020,06T,CE6,104.91,370,138,20,1352167.634,27.13189655,Tuyen Cua Nam,CN,2.262,2262,7.03,1.835509138,192342.48,0.59,0.372972973,0.067009818,0.021561338,T,4,3.83,E2>260000
57,CE6_3,CE6.2U2_88,20/05/2020,06T,CE6,96.97,287,74,25,1429798.36,27.31549296,Tuyen Cua Nam,CN,0.516,516,7.62,1.989556136,187637.58,0.13,0.257839721,0.078581004,0.005321233,C,3,3.83,E2>260000
58,CE6_4,CE6.2U2_40,20/05/2020,06T,CE6,95.71,308,121,7,1461802.848,30.70909091,Tuyen Hang Bai,HB,0.394,394,7.6,1.663019694,192342.48,0.09,0.392857143,0.079406541,0.004116602,T,4,4.57,E2>260000
59,CE6_5,CE6.2U2_44,20/05/2020,06T,CE6,87.17,242,78,22,1359794.363,31.89146341,Tuyen Hang Dao,HD,0.112,112,8.12,1.027848101,167462.36,0.01,0.32231405,0.093151314,0.001284846,D,5,7.9,E2<240000
60,CE6_5,CE6.2U2_44,20/05/2020,06T,CE6,88.98,251,172,30,1435152.425,67.57974684,Tuyen Hang Dao,HD,0.153,153,8.57,1.084810127,167462.36,0.02,0.685258964,0.096313778,0.001719488,T,4,7.9,E2<240000
61,CE6_6,CE6.2U2_53,20/05/2020,06T,CE6,81.76,250,84,18,1025018.472,29.55180723,Tuyen Ly Thai To,LTT,0.2,200,6.26,0.869444444,163740.97,0.03,0.336,0.076565558,0.002446184,T,4,7.2,E2<240000
62,CE6_6,CE6.2U2_53,20/05/2020,06T,CE6,93.76,255,73,20,1242247.696,30.90989011,Tuyen Ly Thai To,LTT,0.367,367,6.97,0.968055556,178227.79,0.05,0.28627451,0.074338737,0.003914249,D,5,7.2,240000<E2<260000
63,CE6_8,CE6.2U2_84,20/05/2020,06T,CE6,91.49,290,117,6,1372353.983,31.73063584,Tuyen Le Van Linh,LVL,0,0,7.7,0.987179487,178227.79,0,0.403448276,0.084162204,0,Sa,1,7.8,240000<E2<260000
64,CE6_8,CE6.2U2_84,20/05/2020,06T,CE6,90.08,272,69,29,1111550.008,26.62,Tuyen Le Van Linh,LVL,3.264,3264,7.61,0.975641026,146064.39,0.42,0.359375,0.084480462,0.036234458,C,3,7.8,E2<240000
