STT,SO XE,XE,NGAY,L,l,Q,To,Tr,N,C,Vm,d,dd,dH,Dh,M,E1,E2,E3,E4,E5,E6,LV,LV1,dc,MG
126,CE7_10,CE7.7U2_38,24/05/2020,13T,CE9,95.78,270,92,12,3414881.663,32.28539326,Tuyen Le Van Linh,LVL,1.876,1876,13.58,1.741025641,251464.04,0.24,0.340740741,0.141783253,0.019586553,T,4,7.8,240000<E2<260000
127,CE10_1,CE10U2_59,25/05/2020,11T,CE10,94.02,320,141,24,3127839.933,31.5150838,Tuyen Tran Hung Dao,THD,0.534,534,11.83,2.816666667,264398.98,0.13,0.440625,0.125824293,0.005679643,T,4,4.2,E2>260000
128,CE10_2,CE10U2_30,25/05/2020,11T,CE10,89.65,285,117,15,2990352.464,32.01785714,Tuyen Trang Tien,TT,0,0,11.31,2.570454545,264398.98,0,0.410526316,0.126157278,0,T,4,4.4,E2>260000
129,CE6_3,CE6.2U2_88,25/05/2020,06T,CE6,99.27,308,102,15,1517582.167,28.91359223,Tuyen Cua Nam,CN,0.44,440,7.89,2.060052219,192342.48,0.11,0.331168831,0.079480206,0.004432356,C,3,3.83,E2>260000
130,CE6_5,CE6.2U2_44,25/05/2020,06T,CE6,89.91,225,70,22,1324627.268,34.80387097,Tuyen Hang Dao,HD,0.125,125,7.91,1.001265823,167462.36,0.02,0.311111111,0.087976866,0.001390279,D,5,7.9,E2<240000
131,CE6_5,CE6.2U2_44,25/05/2020,06T,CE6,87.65,247,77,29,1346397.374,30.93529412,Tuyen Hang Dao,HD,0.223,223,8.04,1.017721519,167462.36,0.03,0.311740891,0.091728465,0.00254421,T,4,7.9,E2<240000
132,CE6_6,CE6.2U2_53,25/05/2020,06T,CE6,87.92,305,120,12,1252618.453,28.51459459,Tuyen Ly Thai To,LTT,0.176,176,7.48,1.038888889,167462.36,0.02,0.393442623,0.085077343,0.00200182,T,4,7.2,E2<240000
133,CE6_6,CE6.2U2_53,25/05/2020,06T,CE6,85.86,241,91,18,1242570.711,3D44,Tuyen Ly Thai To,LTT,0.239,239,7.42,1.030555556,167462.36,0.03,0.377593361,0.086419753,0.002783601,D,5,7.2,E2<240000
134,CE6_7,CE6.2U2_80,25/05/2020,06T,CE6,87.64,312,80,8,598352.3007,22.67,Tuyen Hang Bai,HB,2.035,2035,6.77,1.481400438,88382.91,0.45,0.294117647,0.077247832,0.023219991,C,3,4.57,E2<240000
135,CE6_7,CE6.2U2_80,25/05/2020,06T,CE6,92.27,280,101,11,1004774.16,30.93,Tuyen Hang Bai,HB,0.154,154,6,0,167462.36,0.03,0.617391304,0.065026553,0.001669015,D,4,4.57,E2<240000
136,CE6_7,CE6.2U2_80,25/05/2020,06T,CE6,88.02,290,88,20,690270.5271,26.14455446,Tuyen Hang Bai,HB,1.302,1302,7.81,1.708971554,88382.91,0.28,0.303448276,0.088729834,0.014792093,T,4,4.57,E2<240000
137,CE6_9,CE6.2U2_18,25/05/2020,06T,CE6,93.73,240,79,10,1472161.545,3H304347826087,Tuyen Bach Dang,BD,0,0,8.26,2.256830601,178227.79,0,0.329166667,0.088125467,0,D,5,3.66,240000<E2<260000
138,CE6_9,CE6.2U2_18,25/05/2020,06T,CE6,90.27,240,92,10,1407999.541,36.59594595,Tuyen Bach Dang,BD,0.202,202,7.9,2.158469945,178227.79,0.06,0.383333333,0.087515232,0.002237731,T,4,3.66,240000<E2<260000
